ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q40371160,First Nubar Pasha Cabinet,1878-08-28,11,,,1879-02-23,11,,,,,,,,,Q40371171,First Tewfik Pasha Cabinet
,Q40371171,First Tewfik Pasha Cabinet,1879-03-10,11,,,1879-04-07,11,,,,,,,Q40371160,First Nubar Pasha Cabinet,Q40371183,First Mohamed Sherif Pasha Cabinet
,Q40371183,First Mohamed Sherif Pasha Cabinet,1879-04-07,11,,,1879-07-05,11,,,,,,,Q40371171,First Tewfik Pasha Cabinet,Q40371199,Second Mohamed Sherif Pasha Cabinet
,Q40371199,Second Mohamed Sherif Pasha Cabinet,1879-07-05,11,,,1879-08-18,11,,,,,,,Q40371183,First Mohamed Sherif Pasha Cabinet,Q40371214,Second Tewfik Pasha Cabinet
,Q40371214,Second Tewfik Pasha Cabinet,1879-08-18,11,,,1879-09-21,11,,,,,,,Q40371199,Second Mohamed Sherif Pasha Cabinet,Q40371228,First Mustafa Riad Pasha Cabinet
,Q40371228,First Mustafa Riad Pasha Cabinet,1879-09-21,11,,,1881-09-10,11,,,,,,,Q40371214,Second Tewfik Pasha Cabinet,Q40371243,Third Mohamed Sherif Pasha Cabinet
,Q40371243,Third Mohamed Sherif Pasha Cabinet,1881-09-14,11,,,1882-02-04,11,,,,,,,Q40371228,First Mustafa Riad Pasha Cabinet,Q40371254,Mahmoud Sami el-Baroudi Cabinet
,Q40371254,Mahmoud Sami el-Baroudi Cabinet,1882-02-04,11,,,1882-05-26,11,,,,,,,Q40371243,Third Mohamed Sherif Pasha Cabinet,Q40371271,Raghib Pasha Cabinet
,Q40371271,Raghib Pasha Cabinet,1882-06-17,11,,,1882-08-21,11,,,,,,,Q40371254,Mahmoud Sami el-Baroudi Cabinet,Q40371286,Fourth Mohamed Sherif Pasha Cabinet
,Q40371286,Fourth Mohamed Sherif Pasha Cabinet,1882-08-21,11,,,1884-01-10,11,,,,,,,Q40371271,Raghib Pasha Cabinet,Q40371297,Second Nubar Pasha Cabinet
,Q40371297,Second Nubar Pasha Cabinet,1884-01-10,11,,,1888-06-09,11,,,,,,,Q40371286,Fourth Mohamed Sherif Pasha Cabinet,Q40371307,Second Mustafa Riad Pasha Cabinet
,Q40371307,Second Mustafa Riad Pasha Cabinet,1888-06-09,11,,,1891-05-12,11,,,,,,,Q40371297,Second Nubar Pasha Cabinet,Q40371320,First Mustafa Fahmi Pasha Cabinet
,Q40371320,First Mustafa Fahmi Pasha Cabinet,1891-05-14,11,,,1892-01-17,11,,,,,,,Q40371307,Second Mustafa Riad Pasha Cabinet,Q40371332,Second Mustafa Fahmi Pasha Cabinet
,Q40371332,Second Mustafa Fahmi Pasha Cabinet,1892-01-17,11,,,1893-01-15,11,,,,,,,Q40371320,First Mustafa Fahmi Pasha Cabinet,Q40371343,Hussein Fahri Pasha Cabinet
,Q40371343,Hussein Fahri Pasha Cabinet,1893-01-15,11,,,1893-01-18,11,,,,,,,Q40371332,Second Mustafa Fahmi Pasha Cabinet,Q40371353,Third Mustafa Riad Pasha Cabinet
,Q40371353,Third Mustafa Riad Pasha Cabinet,1893-01-19,11,,,1894-04-15,11,,,,,,,Q40371343,Hussein Fahri Pasha Cabinet,Q40371364,Third Nubar Pasha Cabinet
