position,person,personID,start,end
Member of the Shura Council,Maggie Alhulwanii,Q106104576,2004,2009
Member of the House of Representatives of Egypt,Khaled Mohieddin,Q1026624,1990,2005
Member of the House of Representatives of Egypt,Al-Badri Farghali,Q12184308,1990,2010
Member of the House of Representatives of Egypt,Mortada Mansour,Q12242044,2000,2005
Member of the House of Representatives of Egypt,Hamdi Hassan,Q12208806,2005,2010
Member of the House of Representatives of Egypt,Essam el-Erian,Q4165667,2012-01-11,2012-06-14
Member of the House of Representatives of Egypt,Ali el-Moselhi,Q28923642,2015,2020
Member of the House of Representatives of Egypt,Ahmed Tantawi,Q61744972,2015,
Member of the House of Representatives of Egypt,Mortada Mansour,Q12242044,2015-12-03,2020-11-09
Member of the House of Representatives of Egypt,Rania Elwani,Q7293008,2015-12-31,
Member of the House of Representatives of Egypt,حنفي جبالي,Q104787854,2020,
