id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q15618993,President of Egypt,Q79,Q79,,Q774262,1953-06-18,,,,President of Egypt
Q2669413,Vice President of Egypt,Q79,Q79,,,1958-03-07,,,,Vice-President of Egypt
Q101070183,Prime Minister and Minister of the Interior,Q79,Q79,,,,,,,
Q1571396,Prime Minister of Egypt,Q79,Q79,,Q16151491,1878-08-28,,,,Prime Minister of Egypt
Q101096064,Deputy Prime Minister,Q79,Q79,,,,,,,
Q101070188,Agriculture Minister,Q79,Q79,,,,,,,
Q101070179,Minister of Awqaf and Education,Q79,Q79,,,,,,,
Q110559156,Minister of Civil Aviation,,Q79,,,,,,,
Q70569925,Communications Minister of Egypt,Q79,Q79,,,,,,,
Q101070193,Minister of Commerce and Industry,Q79,Q79,,,,,,,
Q101070210,Minister of Construction,Q79,Q79,,,,,,,
Q110323357,Minister of Culture,Q79,Q79,,,,,,,
Q101070178,Defense Minister,Q79,Q79,,Q15637206,,,,,
Q101070184,Minister of Education,Q124943,Q124943,,,,,,,
Q110559279,Minister of Electricity and Renewable Energy,Q79,Q79,,,,,,,
Q110558839,Minister of the Environment,Q79,Q79,,,,,,,
Q98070786,Finance Minister,Q79,Q79,,,,,,,
Q101070209,Minister of Finance and Economy,Q79,Q79,,,,,,,
Q79784648,Egyptian Minister of Foreign Affairs,Q79,Q79,,Q1162405,,,,,
Q101070195,Minister of Health of Egypt,Q79,Q79,,Q20390957,,,,,
Q110558955,Minister of Higher Education and Scientific Research,,Q79,,,,,,,
Q110559615,Minister of Housing,Q79,Q79,,,,,,,
Q110559339,Minister of Immigration and Expatriates Affairs,Q79,Q79,,,,,,,
Q58717287,Minister of Industry and Foreign Trade,Q79,Q79,,,,,,,
Q101070176,Minister of the Interior,Q79,Q79,,,,,,,
Q110459030,Minister of International Cooperation,,Q79,,,,,,,
Q101070174,Minister of Justice,Q79,Q79,,,,,,,
Q110558850,Minister of Local Development,Q79,Q79,,,,,,,
Q110558972,Minister of Manpower and Emigration,,Q79,,,,,,,
Q101070203,Minister of Municipal Affairs,Q79,Q79,,,,,,,
Q101070207,Minister of Municipal and Rural Affairs,Q79,Q79,,,,,,,
Q101070206,Minister of National Economy,Q79,Q79,,,,,,,
Q110559306,Minister of Parliamentary Affairs,Q79,Q79,,,,,,,
Q110459065,Minister of Petroleum and Mineral Resources,,Q79,,,,,,,
Q110558878,Minister of Planning and Economic Development,Q79,Q79,,,,,,,
Q101070180,Minister of Public Works,Q79,Q79,,,,,,,
Q101070186,Minister of Public Works and Defense,Q79,Q79,,,,,,,
Q101070185,Minister of Public Works and Education,Q79,Q79,,,,,,,
Q89271310,Minister of Religious Endowment,Q79,Q79,,,1878-08-28,,,,
Q101094417,Minister of Rural Affairs,Q79,Q79,,,,,,,
Q48937977,Minister of Social Affairs,Q79,Q79,,,,,,,
Q110559012,Minister of Social Solidarity,,Q79,,,,,,,
Q101084477,Minister of Supply,Q79,Q79,,,,,,,
Q110459047,Minister of Tourism,,Q79,,,,,,,
Q101070189,Transport Minister,Q79,Q79,,,,,,,
Q110559040,Minister of Water Resources and Irrigation,Q79,Q79,,,,,,,
Q110559321,Minister of Youth and Sports,Q79,Q79,,,,,,,
Q101070190,Minister without Portfolio,Q79,Q79,,,,,,,
Q101070199,Minister of State,Q79,Q79,,,,,,,
Q101070198,Minister of State for Finance,Q79,Q2632935,,,,,,,
Q101070197,Minister of State for Foreign Affairs,Q79,Q79,,,,,,,
Q101070208,Minister of State for Information,Q79,Q79,,,,,,,
Q110559552,Minister of State for Military Production,Q79,Q79,,,,,,,
Q101070202,Minister of State for Parliamentary Affairs,Q79,Q79,,,,,,,
Q22932812,Prosecutor General,Q79,Q79,,,,,,,
Q7574271,Speaker of the House of Representatives of Egypt,,,,,1957-07-22,,,,Speaker of the House of Representatives (Egypt)
Q110559825,Governor of the Central Bank of Egypt,Q79,,,,,,,,
Q20419356,Commander in Chief of the Armed Forces of Egypt,Q79,,,,,,,,
Q50564219,Chief of the General Staff of Egypt,Q79,Q79,,Q15982091,1952-09-09,,,,
