wanted,position,positionid,from,start,end
Q19758316,Minister of the Interior,Q101070176,Q55196920,2018-06-14,
Q28456670,Minister of Higher Education and Scientific Research,Q110558955,Q47161155,2017-02-16,
Q16250142,Minister of Petroleum and Mineral Resources,Q110459065,Q22688588,2015-09-19,
Q19901194,Minister of Justice,Q101070174,Q12178578,2015-05-20,2016-03-14
Q6891039,Minister of Culture,Q110323357,Q5515376,2014-06-17,2015-03-05
Q3080090,First Lady,Q3402177,Q17198126,2014-06-08,
Q777872,Vice President,Q2669413,Q133308,2013-07-14,2013-08-14
Q307788,Prosecutor General,Q22932812,Q15056770,2013-07-10,2015-06-29
Q1860273,Minister of Tourism,Q110459047,Q5772583,2012-08-02,2015-03-05
Q45917,President,Q15618993,Q4631,2012-06-30,2013-07-03
Q980418,Minister of Culture,Q110323357,Q5515376,2011-02-01,2011-02-09
Q12206749,Minister of Health,Q101070195,Q43133038,2011-01-30,2011-02-21
Q2577977,Minister of Education,Q101070184,Q4696067,2010-01-02,2011-01-26
Q220296,Minister of Communications,Q70569925,Q2394088,2004-07-14,2011-02-22
Q6932488,Minister of Finance,Q98070786,Q1860288,2004-06-01,2011-01-31
